method	task	env	traj_num	max_history_len	action_len	traj_interval	training_traj_sampling_strategy	base_ckpt_path	policy_config	result_note
no_memory	mikasa_remember_color_3	RememberColor3-v0	1	0	10	10	random	none	diffusion_transformer	compact no-memory score 0.450
no_memory	mikasa_remember_color_5	RememberColor5-v0	1	0	10	10	random	none	diffusion_transformer	compact no-memory score 0.300
no_memory	mikasa_remember_color_9	RememberColor9-v0	1	0	10	10	random	none	diffusion_transformer	compact no-memory score 0.070
no_memory	mikasa_intercept_medium	InterceptMedium-v0	1	0	8	8	random	none	diffusion_transformer	compact no-memory score 0.810
no_memory	mikasa_shell_game_touch	ShellGameTouch-v0	1	0	2	10	random	none	diffusion_transformer	compact no-memory score 0.410
top1_retrieval	mikasa_remember_color_3	RememberColor3-v0	6	5	10	10	random	none	diffusion_mikasa_retrieval_memory_transformer	compact top1 score 0.590 with history_retrieval_topk=1
top1_retrieval	mikasa_remember_color_5	RememberColor5-v0	6	5	10	10	random	none	diffusion_mikasa_retrieval_memory_transformer	compact top1 score 0.240 with history_retrieval_topk=1
top1_retrieval	mikasa_remember_color_9	RememberColor9-v0	6	5	10	10	random	none	diffusion_mikasa_retrieval_memory_transformer	compact top1 score 0.350 with history_retrieval_topk=1
top1_retrieval	mikasa_intercept_medium	InterceptMedium-v0	12	11	8	8	random	none	diffusion_mikasa_retrieval_memory_transformer	compact top1 score 0.810 with history_retrieval_topk=1
top1_retrieval	mikasa_shell_game_touch	ShellGameTouch-v0	45	44	2	10	random	none	diffusion_mikasa_retrieval_memory_transformer	compact top1 score 0.830 with history_retrieval_topk=1
selector	mikasa_remember_color_3	RememberColor3-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260609_2221visual_k4_v2/rc3_start_anchor_v3fbest_state_token_visualwriter_k4_b4_read001_gate2_s02_lr1e4_6ep_idx100_seed0_v2/checkpoints/epoch_3_train_mean_loss_0_000.ckpt	diffusion_mikasa_visual_selector_late_anchor_memory	compact selector score 0.720
selector	mikasa_remember_color_5	RememberColor5-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064830/rc5_dense_idx4_stepmatch_seed0/checkpoints/epoch_32_train_mean_loss_0_003.ckpt	diffusion_mikasa_visual_selector_late_anchor_memory	compact selector score 0.620
selector	mikasa_remember_color_9	RememberColor9-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064937/rc9_top1_idx4_seed2_retry/checkpoints/epoch_37_train_mean_loss_0_002.ckpt	diffusion_mikasa_visual_selector_late_anchor_memory	compact selector score 0.290
selector	mikasa_intercept_medium	InterceptMedium-v0	12	11	8	8	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_053019/intercept_top1_seed0/checkpoints/epoch_8_train_mean_loss_0_003.ckpt	diffusion_mikasa_visual_selector_late_anchor_memory	compact selector score 0.750
selector	mikasa_shell_game_touch	ShellGameTouch-v0	45	44	2	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064831/shell_dense_idx4_stepmatch_seed0/checkpoints/epoch_7_train_mean_loss_0_001.ckpt	diffusion_mikasa_visual_selector_late_anchor_memory	compact selector score 0.890
gru	mikasa_remember_color_3	RememberColor3-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260609_2221visual_k4_v2/rc3_start_anchor_v3fbest_state_token_visualwriter_k4_b4_read001_gate2_s02_lr1e4_6ep_idx100_seed0_v2/checkpoints/epoch_3_train_mean_loss_0_000.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	compact clean GRU score 0.800
gru	mikasa_remember_color_5	RememberColor5-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064830/rc5_dense_idx4_stepmatch_seed0/checkpoints/epoch_32_train_mean_loss_0_003.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	compact clean GRU score 0.630
gru	mikasa_remember_color_9	RememberColor9-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064937/rc9_top1_idx4_seed2_retry/checkpoints/epoch_37_train_mean_loss_0_002.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	compact clean GRU score 0.290
gru	mikasa_intercept_medium	InterceptMedium-v0	12	11	8	8	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_053019/intercept_top1_seed0/checkpoints/epoch_8_train_mean_loss_0_003.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	compact clean GRU score 0.790
gru	mikasa_shell_game_touch	ShellGameTouch-v0	45	44	2	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064831/shell_dense_idx4_stepmatch_seed0/checkpoints/epoch_7_train_mean_loss_0_001.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	compact clean GRU score 0.830
