method	task	checkpoint_path	source_note
top1_retrieval	RememberColor3-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_053019/rc3_top1_seed0/checkpoints/epoch_31_train_mean_loss_0_002.ckpt	Top1 retrieval checkpoint lineage for compact table.
top1_retrieval	RememberColor5-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064830/rc5_dense_idx4_stepmatch_seed0/checkpoints/epoch_50_train_mean_loss_0_002.ckpt	Top1/dense retrieval checkpoint lineage for compact table.
top1_retrieval	RememberColor9-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064937/rc9_top1_idx4_seed2_retry/checkpoints/epoch_50_train_mean_loss_0_002.ckpt	Top1 retrieval checkpoint lineage for compact table.
top1_retrieval	InterceptMedium-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_053019/intercept_top1_seed0/checkpoints/epoch_30_train_mean_loss_0_001.ckpt	Top1 retrieval checkpoint lineage for compact table.
top1_retrieval	ShellGameTouch-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064831/shell_dense_idx4_stepmatch_seed0/checkpoints/epoch_8_train_mean_loss_0_001.ckpt	Top1/dense retrieval checkpoint lineage for compact table.
selector	RememberColor3-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260619_visual_selector_5task_cfpass_scout_v1/visual_selector_carrier_rc3_seed0/checkpoints/epoch_0_train_mean_loss_0_024.ckpt	Visual selector carrier checkpoint used for seed42 eval lineage.
selector	RememberColor5-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260619_visual_selector_5task_cfpass_scout_v1/visual_selector_carrier_rc5_seed0/checkpoints/epoch_0_train_mean_loss_0_023.ckpt	Visual selector carrier checkpoint used for seed42 eval lineage.
selector	RememberColor9-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260619_visual_selector_5task_cfpass_scout_v1/visual_selector_carrier_rc9_seed0/checkpoints/epoch_0_train_mean_loss_0_020.ckpt	Visual selector carrier checkpoint used for seed42 eval lineage.
selector	InterceptMedium-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260619_visual_selector_5task_cfpass_scout_v1/visual_selector_carrier_intercept_seed0/checkpoints/epoch_0_train_mean_loss_0_027.ckpt	Visual selector carrier checkpoint used for seed42 eval lineage.
selector	ShellGameTouch-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260619_visual_selector_5task_cfpass_scout_v1/visual_selector_carrier_shell_seed0/checkpoints/epoch_0_train_mean_loss_0_061.ckpt	Visual selector carrier checkpoint used for seed42 eval lineage.
gru	RememberColor3-v0	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260619_visual_gru_5task_weakcf_scout_v1/visual_gru_carrier_clean_rc3_seed0/checkpoints/epoch_0_train_mean_loss_0_024.ckpt	Clean visual GRU checkpoint used for seed42 eval lineage.
