method	lane	env_id	status	summary_exists	num_episodes	success_once	success_at_end	return	summary	source
late_direct_anchor_repaired_seed42	rc3	RememberColor3-v0	baseline	1	100	0.810000	0.230000	17.211880	/mnt/3fs1/data/tingwen.du/icra_method_dev/experiments/memory_method_dev/diagnostics/rc3_gt_strata_20260615/strict_best_vs_late_anchor_seed42/summary_by_run.tsv:late_anchor_full	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
late_direct_anchor_repaired_seed42	rc5	RememberColor5-v0	baseline	1	100	0.620000	0.330000	18.491201	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_160005/late_direct_anchor_rc5_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/RememberColor5-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
late_direct_anchor_repaired_seed42	rc9	RememberColor9-v0	baseline	1	100	0.290000	0.100000	10.117880	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_160534/late_direct_anchor_rc9_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/RememberColor9-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
late_direct_anchor_repaired_seed42	intercept	InterceptMedium-v0	baseline	1	100	0.790000	0.120000	20.462477	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_161115/late_direct_anchor_intercept_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/InterceptMedium-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
late_direct_anchor_repaired_seed42	shell	ShellGameTouch-v0	baseline	1	100	0.820000	0.740000	62.221050	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_161253/late_direct_anchor_shell_seed0_seed42_ep100_env50/ShellGameTouch-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
native_no_memory_diffusion_seed42	rc3	RememberColor3-v0	baseline	1	100	0.450000	0.150000	12.149531	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_162026/no_memory_diffusion_rc3_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/RememberColor3-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
native_no_memory_diffusion_seed42	rc5	RememberColor5-v0	baseline	1	100	0.300000	0.060000	8.404843	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_162603/no_memory_diffusion_rc5_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/RememberColor5-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
native_no_memory_diffusion_seed42	rc9	RememberColor9-v0	baseline	1	100	0.070000	0.030000	3.880520	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_163847/no_memory_diffusion_rc9_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/RememberColor9-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
native_no_memory_diffusion_seed42	intercept	InterceptMedium-v0	baseline	1	100	0.810000	0.120000	20.643715	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_163130/no_memory_diffusion_intercept_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/InterceptMedium-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
native_no_memory_diffusion_seed42	shell	ShellGameTouch-v0	baseline	1	100	0.410000	0.410000	31.097958	/mnt/3fs1/data/tingwen.du/icra_method_dev/eval/mikasa_method_dev/20260619_164415/no_memory_diffusion_shell_seed0_seed42_retry_env5_gpu7_vkfix_ep100_env5/ShellGameTouch-v0/summary.json	/mnt/3fs1/data/tingwen.du/icra_method_dev/logs/mikasa_method_dev/rollout_repaired_summaries_20260619/repaired_seed42_5task_summary.tsv
